1,86,64,59,209
2,76,60,68,204
3,89,79,93,261
4,58,100,64,222
5,51,57,90,198
6,84,85,62,231
7,60,95,60,215
8,75,70,77,222
9,92,91,56,239
10,64,65,80,209
11,98,53,82,233
12,56,97,75,228
13,60,88,93,241
14,53,85,71,209
15,91,69,63,223
16,87,88,94,269
17,61,64,96,221
18,85,70,85,240
19,64,88,75,227
20,70,79,99,248
21,81,92,92,265
22,90,86,94,270
23,90,67,76,233
24,91,74,93,258
25,75,85,93,253
26,51,60,55,166
27,91,78,66,235
28,94,51,63,208
29,78,93,55,226
30,85,86,73,244
